HFBJIN_01025	DLFNKE_04470	39.0	474	238	8	1	432	1	465	5.00e-103	310
HFBJIN_01030	DFHILB_18235	71.6	215	58	1	1	215	1	212	1.97e-110	311
HFBJIN_01035	EGEACP_03415	57.0	249	106	1	1	248	16	264	3.72e-99	286
HFBJIN_01055	EGMGCA_06090	72.6	124	32	1	1	122	1	124	9.63e-58	171
HFBJIN_01060	JHIMFH_02475	78.0	118	26	0	14	131	21	138	2.13e-64	189
HFBJIN_01065	ANAEHF_05660	46.6	206	99	4	1	206	1	195	9.66e-54	167
HFBJIN_01070	NPACKI_02020	61.0	318	120	3	1	315	1	317	3.48e-133	377
HFBJIN_01075	KPCHOM_01925	69.0	113	35	0	1	113	39	151	5.51e-51	154
HFBJIN_01080	BCFHOD_10075	42.9	266	147	4	21	282	15	279	1.35e-65	203
HFBJIN_01085	BCFHOD_10075	48.9	272	138	1	1	272	1	271	1.94e-88	261
HFBJIN_01090	FOMOBF_02515	54.3	269	118	3	1	265	1	268	6.86e-88	259
HFBJIN_01100	LPAOAJ_05615	62.2	143	54	0	1	143	61	203	5.90e-61	183
HFBJIN_01105	AEGBGH_07565	71.3	129	36	1	3	130	10	138	8.80e-59	174
HFBJIN_01120	MCCICN_05395	50.4	280	138	1	1	280	1	279	3.31e-98	286
HFBJIN_01125	ECLNLI_04625	64.4	180	64	0	2	181	22	201	4.44e-81	236
HFBJIN_01140	HAINKJ_00320	52.3	262	123	1	186	447	458	717	1.78e-79	257
HFBJIN_01140	FGCNNA_15325	38.9	275	161	3	178	449	489	759	2.40e-53	187
HFBJIN_01145	JIBNCO_17045	50.5	721	334	5	39	743	51	764	1.10e-253	718
HFBJIN_01150	NJKLPJ_08545	65.4	344	117	1	3	344	25	368	1.29e-164	460
HFBJIN_01155	JPGONO_05465	38.9	475	282	4	68	535	70	543	9.76e-102	314
HFBJIN_01160	JLCMGD_15675	60.9	442	171	1	1	440	30	471	1.10e-191	537
HFBJIN_01195	ANAEHF_02140	47.6	248	126	1	16	259	15	262	1.50e-68	213
HFBJIN_01205	GCDEGP_05015	44.5	550	253	13	37	543	32	572	9.82e-135	406
HFBJIN_01210	LPHKDC_03635	43.9	301	169	0	1	301	1	301	2.45e-84	252
HFBJIN_01215	JLFFKH_10735	45.5	347	188	1	2	348	3	348	1.04e-104	308
HFBJIN_01225	FPHNOE_03040	63.3	267	97	1	1	267	26	291	4.36e-121	344
HFBJIN_01230	BKGNKE_03870	52.3	151	71	1	117	267	2	151	3.94e-48	154
HFBJIN_01245	GPHIJJ_07705	52.0	448	210	3	1	446	1	445	2.79e-156	446
HFBJIN_01255	OHKOAG_01070	52.8	159	74	1	1	158	1	159	1.94e-51	158
HFBJIN_01265	HIADJD_12750	32.7	416	274	5	5	419	8	418	1.33e-66	219
HFBJIN_01270	EIKLNG_11410	71.4	161	46	0	1	161	1	161	9.67e-78	239
HFBJIN_01275	PKHOKF_04630	61.9	360	133	1	1	356	93	452	1.38e-149	426
HFBJIN_01280	KPNMII_11605	53.6	558	248	4	1	554	1	551	7.50e-204	576
HFBJIN_01285	FOLEJH_19415	77.4	328	73	1	1	328	1	327	2.47e-185	511
HFBJIN_01300	FFLAPM_17200	58.2	292	115	3	2	287	23	313	2.69e-87	259
HFBJIN_01305	FKNOEG_02840	41.1	258	146	2	43	299	20	272	1.57e-68	211
HFBJIN_01305	OBHHPC_05035	32.9	295	182	4	21	299	4	298	9.77e-52	168
HFBJIN_01310	PPPHGA_08905	50.6	496	239	4	1	493	1	493	2.55e-190	540
HFBJIN_01310	ELNOCH_01590	43.0	472	254	8	3	471	34	493	1.58e-127	397
HFBJIN_01330	JLCMGD_15675	45.7	293	158	1	13	304	177	469	4.90e-89	270
HFBJIN_01345	LKLDMN_19325	44.3	219	117	3	6	224	4	217	4.96e-59	182
HFBJIN_01355	NHIAMB_19525	32.9	425	235	11	3	380	114	535	2.08e-62	205
HFBJIN_01360	MDIEPL_13060	32.2	426	238	9	2	378	97	520	3.84e-61	201
HFBJIN_01360	NHIAMB_19525	30.3	422	248	10	1	377	116	536	4.27e-58	194
HFBJIN_01370	FOHGMI_14860	51.3	226	101	4	242	467	2	218	4.38e-62	203
HFBJIN_01390	PNJNHA_06825	50.1	611	295	4	1	608	1	604	1.87e-199	568
HFBJIN_01435	ELNOCH_01590	68.4	749	235	2	6	753	533	1280	0.0	1022
HFBJIN_01435	DEAEDM_14640	38.9	803	432	16	5	753	16	813	5.61e-165	493
HFBJIN_01450	ILEJOP_08300	79.5	195	40	0	1	195	41	235	3.29e-111	313
HFBJIN_01475	BOPGEP_09895	44.1	637	343	6	1	632	1	629	5.21e-190	547
HFBJIN_01505	JLNLFB_04605	55.0	151	68	0	1	151	231	381	9.20e-51	163
HFBJIN_01530	IADIMG_01355	45.5	332	177	2	1	328	32	363	5.29e-103	304
HFBJIN_01535	MAHJHN_05475	65.3	857	294	2	3	859	8	861	0.0	1124
HFBJIN_01535	LEJEEC_08915	37.1	391	218	4	469	859	16	378	9.94e-75	245
HFBJIN_01535	HAFNKM_08490	32.4	398	236	7	460	854	12	379	2.59e-53	186
HFBJIN_01535	OLKGPM_09705	29.5	393	232	10	473	857	41	396	3.31e-42	162
HFBJIN_01595	OEDLLD_08805	26.6	485	352	2	94	577	240	721	8.44e-57	199
HFBJIN_01595	MGCPIK_11245	41.9	227	130	2	347	572	45	270	8.16e-52	176
HFBJIN_01595	KAJCKN_09590	27.0	419	296	6	159	573	151	563	3.24e-44	162
HFBJIN_01645	KOGAEP_18980	40.7	935	475	9	1	861	5	934	3.05e-206	608
HFBJIN_01645	IFHDGK_16005	27.5	683	437	17	51	725	87	719	5.35e-55	201
HFBJIN_01655	BLDCGJ_07655	41.2	277	162	1	4	280	7	282	1.86e-75	228
